순위,판매상품ID,상품명,판매가,저자,출판사,발행일,분야
776,S000217164649,인생의 짧음에 대하여,15750,루키우스 안나이우스 세네카,현대지성,2025-08-01,인문
777,S000216663309,오십에 읽는 논어,17100,최종엽,유노북스,2025-06-04,인문
778,S000001020301,해커스 지텔프(G-TELP) 문법 Level 2,17010,해커스 어학연구소,해커스어학연구소,2024-10-07,외국어
779,S000213913660,불안 세대,22320,조너선 하이트,웅진지식하우스,2024-07-31,인문
780,S000210866003,투자는 심리게임이다,13500,앙드레 코스톨라니,미래의창,2023-11-10,경제/경영
781,S000200047384,인생의 역사,16200,신형철,난다,2022-10-17,시/에세이
782,S000001949990,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),10350,데일 카네기,현대지성,2021-01-13,자기계발
783,S000001144035,멋진 신세계,12420,올더스 헉슬리,소담출판사,2015-06-12,소설
784,S000000869813,수상한 화가들,15750,박석근,사계절,2012-04-27,청소년
785,E000013428725,"매일성경[개역개정] 2026년 9-10월호(사사기, 야고보서, 시편 16-19편)",4500,성서유니온 편집부 저자,성서유니온,2026-09-01,미분류
786,S000221141712,2027 철도왕 철도교통안전관리자 일주일 절대합격 바이블,29700,철도왕,지식오름,2026-10-01,기술/공학
787,S000221280367,싱글즈(2026년 10월호)(A형),8550,더북컴퍼니 편집부,더북컴퍼니,2026-09-18,잡지
788,S000221280574,마법사의 신부 21,5400,Kore Yamazaki,학산문화사,2026-09-15,만화
789,S000221282109,게이머즈(2026년 9월호),18520,게임문화 편집부,게임문화,2026-09-14,잡지
790,S000220789153,조용히 해내는 사람,16020,이재은,빅피시,2026-08-19,시/에세이
791,S000220988235,밀회,13500,아베 코보,민음사,2026-08-18,소설
792,S000220458252,2027 공단기 선재국어 시간 단축 논리 훈련,17100,이선재 외,에스티유니타스,2026-07-03,취업/수험서
793,S000220241808,나의 지옥은 나를 죽이지 못했다,17100,김강우,책과삶,2026-06-25,시/에세이
794,S000219752390,김약국의 딸들(한국문학의 거장 박경리 탄생 100주년 기념 특별판),19800,박경리,다산책방,2026-05-19,소설
795,S000219562810,2027 에듀윌 사회복지사 1급 단원별X회차별 기출문제집+무료특강,26100,손용근,에듀윌,2026-03-31,취업/수험서
796,S000001020226,해커스 여행 일본어 10분의 기적,8820,해커스 일본어연구소,해커스어학연구소,2025-06-02,외국어
797,S000216172302,긴키 지방의 어느 장소에 대하여,15120,세스지 외,반타,2025-04-10,소설
798,S000000620531,케이크와 맥주,11700,서머싯 몸,민음사,2021-09-10,소설
799,S000001953324,지구 끝의 온실,16650,김초엽,자이언트북스,2021-08-18,소설
800,S000003103185,Grammar in Use Intermediate Student's Book with Answers,27000,"Murphy, Raymond",Cambridge University Press,2018-09-13,ELT/수험서
801,S000001786573,사탄탱고(블랙 에디션),17820,크러스너호르커이 라슬로,알마,2018-05-09,소설
802,S000000620599,해가 지는 곳으로,12600,최진영,민음사,2017-06-30,소설
803,S000000734602,꽃들에게 희망을,13500,트리나 폴러스,시공주니어,2017-01-15,어린이(초등)
804,S000000620376,지하로부터의 수기,9900,표도르 도스토예프스키,민음사,2010-02-26,소설
805,E000013486404,2026 하반기 렛유인 SKCT FINAL 봉투모의고사,15300,주영훈 외,렛유인에듀,2026-09-09,미분류
806,E000003090780,노르웨이의 숲,11900,무라카미 하루키 외,민음사,2019-05-23,미분류
807,E000003091179,브람스를 좋아하세요,7000,프랑수아즈 사강 외,민음사,2018-06-19,미분류
808,E000003091045,데미안,5600,전영애 외,민음사,2012-06-29,미분류
809,S000221237462,오십에 읽는 동의보감,21600,김형찬,유노북스,2026-09-16,인문
810,S000221282278,드래곤 마스터 20: 윈드 드래곤의 외침,11700,트레이시 웨스트,다산어린이,2026-09-15,어린이(초등)
811,S000221251398,1차원의 삽목,17820,마쓰시타 류노스케,반타,2026-09-10,소설
812,S000220996230,역할은 주어지지 않는다,17100,윤기열,도서출판독,2026-09-01,자기계발
813,S000220860922,리테일 바이블 2030,19800,리테일 소사이어티,북스톤,2026-08-31,경제/경영
814,S000221031764,"정재승의 로봇 탐구 보고서 2: 라보코, 댄스 오디션에 도전하다",15120,정재승 외,얘들아모여,2026-08-26,어린이(초등)
815,S000220937602,서리꽃 1,18000,조정래,해냄출판사,2026-08-24,소설
816,S000220843962,잊기 좋은 이름,15750,김애란,문학동네,2026-08-24,시/에세이
817,S000220854454,초풍요의 시대,19800,피터 디아만디스 외,비즈니스북스,2026-08-22,경제/경영
818,S000220860384,정지훈의 AI 투자 강의,25200,정지훈,한빛미디어,2026-08-17,경제/경영
819,S000220704921,명탐정 코난 108,5400,Gosho Aoyama,서울미디어코믹스(서울문화사),2026-07-31,만화
820,S000220524045,2027 유휘운 행정법총론 기출문제 풀어주는 기본서(기풀기) 세트,45000,유휘운,모두공북스,2026-07-27,취업/수험서
821,S000220588376,슈뻘맨의 숨은 과학 찾기 8,15120,슈뻘맨,미래엔아이세움,2026-07-22,어린이(초등)
822,S000220448122,2027 이동기 공무원 VOCA,23400,이앤미래,지금,2026-07-10,취업/수험서
823,S000220465455,나는 알코올중독 의사였습니다,17820,이준서,모티브,2026-07-10,건강
824,S000220453101,2027 공단기 심슨 독해,15300,심우철,에스티유니타스,2026-07-08,취업/수험서
825,S000219337906,2026 시대에듀 청소년상담사 2급 2차 면접대비 한권으로 끝내기,28800,문두식,시대고시기획,2026-05-20,인문
826,S000219973683,행복,18000,법륜,정토출판,2026-05-12,시/에세이
827,S000219790891,2027 심슨 구문,16200,심우철,에스티유니타스,2026-04-28,취업/수험서
828,S000218854005,PD가 묻고 운명이 답하다,19800,대명 이석진,푸른솔,2025-12-22,자기계발
829,S000001020255,해커스 토익 스타트 RC Reading (리딩) 입문서,13410,David Cho,해커스어학연구소,2025-04-07,외국어
830,S000060622715,10일 만에 끝내는 해커스 토익스피킹(토스) 스타트,17010,해커스 어학연구소,해커스어학연구소,2024-07-22,외국어
831,S000001020229,해커스 구문독해 100: 100개 필수구문으로 영어 직독직해,15210,해커스 어학연구소,해커스어학연구소,2023-12-04,외국어
832,S000211402868,날씨가 좋으면 찾아가겠어요,15300,이도우,수박설탕,2023-11-22,소설
833,S000209008360,비스킷,13320,김선미,위즈덤하우스,2023-09-18,청소년
834,S000061350430,넛지(파이널 에디션),19800,리처드 탈러 외,리더스북,2022-06-20,경제/경영
835,S000000614285,스크루테이프의 편지,11700,C. S. 루이스,홍성사,2018-11-15,종교
836,S000001069376,은하수를 여행하는 히치하이커를 위한 안내서 1,12600,더글러스 애덤스,책세상,2018-05-05,소설
837,E000012311014,김재우의 기본 동사 100,15400,김재우,상상스퀘어,2025-12-10,미분류
838,E000012809329,"AI, 신의 탄생 인간의 종말",15400,엘리에저 유드코스키 외,상상스퀘어,2026-04-03,미분류
839,S000220843869,2027 이기적 컴퓨터활용능력 2급 필기+실기 올인원,24300,홍태성 외,영진닷컴,2026-09-20,컴퓨터/IT
840,S000221280289,EBS 중급 일본어 (2026년 10월),7600,원미령,동아출판,2026-09-16,잡지
841,S000221328629,타로의 얼렁뚱땅 3,5850,Tsumu YATSUMI,서울미디어코믹스(서울문화사),2026-09-16,만화
842,S000220996613,2026 박문각 경찰 코칭 경찰면접,31500,박용증 외,박문각,2026-09-10,취업/수험서
843,S000221167537,2027 소방시험대비 백소나 소방관계법규 기출문제집,28800,백소나,더나은,2026-09-07,취업/수험서
844,S000221143299,홍정기의 장수근육 혁명,17820,홍정기,깸,2026-08-31,건강
845,S000220564477,오뒷세이아: 흔들리는 인간에 대하여,17820,조태경,논픽션,2026-07-22,인문
846,S000220362859,무염·저염 하나로 끝내는 베이스 유아식,21600,애플랜(김애정),길벗,2026-07-07,요리
847,S000220341014,싫을 땐 싫다고 말해요,15120,다그마 가이슬러,윌마,2026-06-30,유아(0~7세)
848,S000219996976,히스토리아 비테이,21600,최재천,지식서재,2026-06-08,과학
849,S000219349741,혼잡(JOB) IBK기업은행 직무수행능력 경영경제 400제,22500,혼JOB취업연구소,커리어빅,2026-03-16,취업/수험서
850,S000218969538,2026 해커스 한국사능력검정시험 심화(1·2·3급) 한능검 초단기 3급+ 합격,13500,해커스 한국사연구소,해커스한국사,2026-01-16,인문
851,S000218326411,해커스 Updated 토플 리스닝(Hackers Updated TOEFL Listening),29700,David Cho 외,해커스어학연구소,2025-11-07,외국어
852,S000218326405,해커스 Updated 토플 라이팅(Hackers Updated TOEFL WRITING),25200,David Cho 외,해커스어학연구소,2025-11-07,외국어
853,S000218353193,영어책 한 권 외워봤니? 뉴 에디션,18000,김민식,위즈덤하우스,2025-11-05,자기계발
854,S000000778372,프랑켄슈타인,9900,메리 셸리,문학동네,2025-10-10,소설
855,S000216042606,저스트킵바잉,22500,닉 매기울리,서삼독,2025-03-28,경제/경영
856,S000211513068,이처럼 사소한 것들,12420,클레어 키건,다산책방,2023-11-27,소설
857,S000209150649,JLPT 최신 기출 유형 실전모의고사 N2,15120,Aj Online Test,시원스쿨닷컴,2023-09-15,외국어
858,S000000348808,호두까기 인형 사운드북,17440,피오나 와트,어스본코리아,2020-11-05,유아(0~7세)
859,S000000620505,여름,10800,이디스 워튼,민음사,2020-08-14,소설
860,S000000403822,권력의 법칙,25200,로버트 그린 외,웅진지식하우스,2009-03-02,경제/경영
861,S000000620203,나르치스와 골드문트,10800,헤르만 헤세,민음사,2002-07-30,소설
862,E000013432297,문해내공,17500,신종호 외,상상스퀘어,2026-08-14,미분류
863,E000013437485,그랬다고 적었다,11900,김애란,문학동네,2026-08-24,미분류
864,E000013410272,"오늘을 빼앗기는 당신에게, 세네카",9800,한주원,유페이퍼,2026-08-01,미분류
865,S000221267698,유희왕 22(완결),10800,Kazuki Takahashi,대원씨아이,2026-09-30,만화
866,S000221263850,시온 군이 말하는 대로 2,5850,Neko Inukai,서울미디어코믹스(서울문화사),2026-09-10,만화
867,S000221242379,큐티인(QTIN)(작은글씨)(2026년 10월호),3800,QTM 편집부,QTM,2026-09-08,잡지
868,S000220440338,NEW 가장 쉬운 독학 일본어 첫걸음,15750,김연수 외,동양북스,2026-07-20,외국어
869,S000220341532,매스커레이드 라이프,18000,히가시노 게이고,현대문학,2026-07-01,소설
870,S000220094271,너무 빨리 배우는 아이들,16920,천근아,웅진지식하우스,2026-06-05,가정/육아
871,S000219800453,2026 해커스 증권투자권유자문인력 한권합격 핵심개념+적중문제,28710,민영기 외,해커스금융,2026-04-30,취업/수험서
872,S000219337221,세법개론 1(2026),35640,임상엽 외,상경사,2026-03-05,경제/경영
873,S000218841048,쓰가루,11700,다자이 오사무,민음사,2025-12-12,소설
874,S000216977366,만능문장으로 끝내는토익스피킹 실전 모의고사 25회,23400,시계토끼제니쌤,시계토끼,2025-07-01,외국어
875,S000215820983,이방인(초판본)(1944년 오리지널 초판본 표지디자인),2690,알베르 카뮈,더스토리,2025-02-18,소설
876,S000215768656,맨큐의 경제학,46500,N. GREGORY MANKIW,경문사,2025-02-14,경제/경영
877,S000215690387,만화로 보는 3분 철학 세트,44640,김재훈,카시오페아,2025-01-31,인문
878,S000000611871,페인트,13500,이희영,창비,2023-11-17,청소년
879,S000208603739,흔들릴 줄 알아야 부러지지 않는다,16200,김정호,달콤북스,2023-09-04,자기계발
880,S000208791108,JLPT 최신 기출 유형 실전모의고사 N1,15120,Aj Online Test,시원스쿨닷컴,2023-08-31,외국어
881,S000001297886,"로봇 소년, 학교에 가다",10800,톰 앵글버거 외,미래인,2017-02-22,청소년
882,S000000620309,한여름 밤의 꿈,7200,윌리엄 셰익스피어,민음사,2008-02-28,소설
883,S000220705875,프리만 이야기 - 지평리 전투 영웅,20000,김성수,퍼플,2026-08-15,역사/문화
884,E000006806388,생각에 관한 생각,19000,대니얼 카너먼,김영사,2018-04-05,미분류
885,E000003197521,코스모스,18000,칼 세이건 외,사이언스북스,2017-03-24,미분류
886,S000214920223,The Scent of Page : 차량용 방향제 리필,15300,교보문고,교보문고,2024-12-06,책향
887,S000221328180,추세추종 매수매도 바이블,22500,올투,한빛비즈,2026-09-28,경제/경영
888,S000221175869,지뢰인가요? 치하라 양 1,6300,룡,디앤씨미디어,2026-09-21,만화
889,S000221281867,"촌구석 아저씨, 검성이 되다 9",5850,Shigeru Sagazaki 외,대원씨아이,2026-09-15,만화
890,S000221264155,2027 공단기 오정화 회계학 오진다,27000,오정화,올에듀케이션,2026-09-10,취업/수험서
891,S000218267499,뽀빠이 POPEYE 2026.10,10700,マガジンハウス,マガジンハウス,2026-09-09,잡지
892,S000221178785,성령의 얼굴,18000,김양재,QTM,2026-09-04,종교
893,S000220852435,황천의 츠가이 12,5850,Hiromu Arakawa,대원씨아이,2026-08-31,만화
894,S000220939060,2027 공단기 월간 이유진 국어 미니모고 / 실전편,16200,이유진,빛나는 별,2026-08-26,취업/수험서
895,S000221162881,어제 뭐 먹었어? 25,5400,Fumi Yoshinaga,삼양출판사,2026-08-14,만화
896,S000220781163,ETF 투자 5일 완성,20700,최고민수(박민수),다산북스,2026-08-13,경제/경영
897,S000216354770,독끝 NCS 자료해석 400제(공기업 NCS/대기업 인적성 대비 독학으로 끝내는 수리능력&자료해석 PSAT),29700,길잡이연구소,애드투,2026-06-30,취업/수험서
898,S000219615731,제17회 젊은작가상 수상작품집(2026),6930,김채원 외,문학동네,2026-03-31,소설
899,S000219386230,살찌지 않는 몸,17820,우창윤,웅진지식하우스,2026-03-13,건강
900,S000061351206,10일 만에 끝내는 해커스 토익스피킹(토스),17010,해커스 어학연구소,해커스어학연구소,2025-12-01,외국어
901,S000217277663,트루먼 스쿨 악플 사건,13500,도리 H. 버틀러,미래인,2025-08-20,청소년
902,S000215985037,마음을 읽는 아이 오로르,19800,더글라스 케네디,밝은세상,2025-03-11,소설
903,S000214465905,넥서스,25020,유발 하라리,김영사,2024-10-11,인문
904,S000001020256,해커스 토익 스타트 LC Listening (리스닝) 입문서,13410,David Cho,해커스어학연구소,2024-09-02,외국어
905,S000061584236,초역 니체의 말,14220,프리드리히 니체,삼호미디어,2022-08-29,인문
906,S000001848329,갈매기에게 나는 법을 가르쳐준 고양이,11520,루이스 세풀베다,바다출판사,2021-09-30,청소년
907,S000003655377,People We Meet on Vacation,12000,"Henry, Emily",Berkeley,2021-05-11,문학
908,S000001753799,아홉살 인생,10800,위기철,현북스,2020-05-11,청소년
909,S000001767935,우리는 모두 죽는다는 것을 기억하라,15300,웨인 다이어,토네이도,2019-11-18,자기계발
910,S000000604080,될 일은 된다,13500,마이클 A. 싱어,정신세계사,2016-06-22,자기계발
911,S000000625549,정리하는 뇌,19800,대니얼 J. 레비틴,와이즈베리,2015-06-22,인문
912,S000000603992,리얼리티 트랜서핑 1,11700,바딤 젤란드,정신세계사,2009-02-04,자기계발
913,S000221231491,형사소송법,55000,이창현,정독,2026-09-15,정치/사회
914,S000221178694,일본어 회화의 결정적 단어들,23400,최민경,사람in,2026-09-14,외국어
915,S000221109103,2027 대한민국 트렌드,18000,조성호,길벗,2026-09-14,경제/경영
916,S000221242447,큐티인(QTIN)(큰글씨)(2026년 10월호),4750,QTM 편집부,QTM,2026-09-08,잡지
917,S000221109053,나민애의 문해력 게임 6,13500,나민애,겜툰,2026-09-03,어린이(초등)
918,S000220922855,스피킹 매트릭스 2분 영어 말하기,18000,김영욱(달변가 영쌤),길벗이지톡,2026-08-31,외국어
919,S000220861695,이토록 인간적인 물리학,22410,팀 폴러트,21세기북스,2026-08-19,과학
920,S000219083403,죄와 벌 1~2권 세트,31500,표도르 도스토옙스키,지식을만드는지식,2025-08-28,소설
921,S000001715842,해커스 중국어 HSK 5급 한 권으로 정복 기본서 + 실전모의고사 + 핵심어휘집,24210,해커스 HSK연구소,해커스,2024-07-15,외국어
922,S000001829920,데미안(초판본)(1919년 오리지널 초판본 표지 디자인),2690,헤르만 헤세,더스토리,2020-08-20,소설
923,S000001923905,마더북,16650,반비 편집부,반비,2019-04-26,시/에세이
924,S000001470198,일리아스,34200,호메로스,숲,2015-06-20,인문
925,S000219198356,한번 밀면 시원함이 쫙 비비온 롤링 마사지스틱SR138,24900,미상,,,홈/라이프
926,E000013506173,칵테일을 마시는 철학자들,20000,사라 베이크웰 외,다산초당,2026-08-28,미분류
927,E000007049045,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),16800,쇼펜하우어 외,하이스트,2024-02-20,미분류
928,S000221337354,우리는 서로를 통해 존재한다,17820,카를로 로벨리,쌤앤파커스,2026-09-30,과학
929,S000221190094,과몰입 사회,17820,기타 야코프,알에이치코리아,2026-09-28,정치/사회
930,S000221329484,보그(2026년 10월호),7600,두산매거진 편집부,두산매거진,2026-09-22,잡지
931,S000221075115,"2027 심승아 Simple, Detail 소방학개론 심출기몰 기출문제집",29700,심승아,모두공북스,2026-09-10,취업/수험서
932,S000221151708,편집자의 책읽기,21600,김영준,글항아리,2026-09-10,인문
933,S000221152201,테니스나무,15300,윤고은,문학동네,2026-09-04,소설
934,S000220991849,불교는 인생에 확실히 도움이 된다,17820,뇔케 무호,페이지2북스,2026-09-02,자기계발
935,S000220930473,"도파민 과잉 시대, 당신의 뇌가 무너진다",23400,리처드 사이토윅,알레,2026-08-31,과학
936,S000221031502,2027 해커스공무원 이명호 관세법 단원별 기출문제집(9급·7급 공무원),38700,이명호,해커스공무원,2026-08-28,취업/수험서
937,S000220699654,오디세이 각본집,18900,크리스토퍼 놀란,웅진지식하우스,2026-08-19,예술/대중문화
938,S000220734539,인플레이션은 누구를 부자로 만드는가,24120,신환종,포레스트북스,2026-08-12,경제/경영
939,S000221031482,가장 쉬운 독학 타로카드 첫걸음,26820,타로 알려주는 남자(김지훈),동양북스,2026-08-10,취미/실용/스포츠
940,S000220042183,2026 수제비 정보처리기사 실기 Final 모의고사,30600,윤영빈 외,수제비출판사,2026-06-15,컴퓨터/IT
941,S000219856067,거꾸로 가는 하나님 나라,16200,김지희,햇살콩,2026-05-15,종교
942,S000219446416,박태웅의 AI 강의 2026,20700,박태웅,한빛비즈,2026-03-20,경제/경영
943,S000219490156,2026 Impact 세법학 1,30000,유은종,제이디아이북스(JDI BOOKS),2026-03-10,취업/수험서
944,S000218498075,2026 시나공 컴퓨터활용능력 1급 필기 기출문제집,15300,길벗알앤디,길벗,2026-01-05,컴퓨터/IT
945,S000216841258,편안함의 습격,19800,마이클 이스터,수오서재,2025-06-24,인문
946,S000213634979,죽이고 싶은 아이 2,12600,이꽃님,우리학교,2024-07-01,청소년
947,S000212686783,착! 붙는 일본어 독학 첫걸음,15120,일본어 공부기술연구소,시사일본어사,2024-03-25,외국어
948,S000212754158,알사탕,13500,백희나,스토리보울,2024-03-21,유아(0~7세)
949,S000202972046,아몬드,15120,손원평,다즐링,2023-07-14,소설
950,S000201351776,크리스마스 캐럴,14220,찰스 디킨스,푸른숲주니어,2023-03-27,어린이(초등)
951,S000201078049,내면소통,29700,김주환,인플루엔셜,2023-02-27,인문
952,S000200438632,해커스공기업 NCS 피듈형(모듈+피셋) 통합 봉투모의고사 7회 (온라인 1회 포함),16110,해커스 취업교육연구소,해커스공기업,2023-01-03,취업/수험서
953,S000000620700,내 이름은 빨강 2,11700,오르한 파묵,민음사,2019-10-30,소설
954,S000001632466,원미동 사람들,11700,양귀자,쓰다,2012-12-25,소설
955,S000000569813,피로사회,12600,한병철,문학과지성사,2012-03-05,인문
956,S000000620180,고도를 기다리며,8100,사뮈엘 베케트,민음사,2012-02-20,소설
957,S000000620140,햄릿,6300,셰익스피어,민음사,2009-01-20,소설
958,S000000620306,포스트맨은 벨을 두 번 울린다,9900,제임스 M. 케인,민음사,2007-12-28,소설
959,S000002486871,Tuesdays with Morrie,5900,Mitch Albom,Anchor Books,2006-01-01,문학
960,S000002571210,Animal Farm (75th Anniversary Edition),7200,George Orwell,Signet Book,1996-04-01,문학
961,S000219187293,[교보단독] 스테들러 스터디 팩 6종 세트,7900,미상,,,필기구
962,E000013264345,투명한 나선,13860,히가시노 게이고 외,북다,2026-07-22,미분류
963,E000013477770,서리꽃 1,14000,조정래,해냄출판사,2026-08-25,미분류
964,E000013477778,서리꽃 2,14000,조정래,해냄출판사,2026-08-25,미분류
965,S000221337697,"AI, 교회 사역을 만나다",22500,김농주 외,더디퍼런스,2026-10-01,종교
966,S000221152471,달 목욕탕,15120,김상근,사계절,2026-09-22,유아(0~7세)
967,S000221337385,2027대비 신호진 핵심기출 1000제 형법총론,32400,신호진,렉스스터디,2026-09-18,취업/수험서
968,S000221263882,바이브리의 선물하고 싶은 코바늘 인형,21600,이양순,한스미디어,2026-09-16,취미/실용/스포츠
969,S000221109370,AI로 변화하는 일의 감각,17820,김성준,포르체,2026-09-02,경제/경영
970,S000220922299,극한 진화의 세계,20700,이정모,다산초당,2026-08-19,과학
971,S000220048885,하네스 엔지니어링 with 클로드 코드,27000,황민호,한빛미디어,2026-06-11,컴퓨터/IT
972,S000219752191,흔한남매 과학 탐험대 17: 뇌와 호르몬,15120,김언정,주니어김영사,2026-04-21,어린이(초등)
973,S000219881387,켈리지텔프 G-POINT 33: 문법편,27000,켈리,멘토링,2026-04-10,외국어
974,S000219570471,부의 사다리에 올라타라,20700,닉 매기울리,알에이치코리아,2026-04-10,경제/경영
975,S000219377994,2027 해커스경찰 박철한 경찰헌법 기출문제집,27000,박철한,해커스경찰,2026-03-06,취업/수험서
976,S000218499838,2026 시나공 컴퓨터활용능력 2급 필기 기출문제집,11700,길벗알앤디,길벗,2026-01-05,컴퓨터/IT
977,S000218685851,제니쌤의 오픽 편의점,17820,제니 외,시원스쿨닷컴,2025-12-02,외국어
978,S000218326413,해커스 Updated 토플 스피킹(Hackers Updated TOEFL Speaking),25200,David Cho 외,해커스어학연구소,2025-11-07,외국어
979,S000218227540,3일 벼락치기로 끝내는 토익스피킹 만능문장 모음.ZIP,18810,시계토끼제니쌤,시계토끼,2025-10-16,외국어
980,S000217395322,실패를 통과하는 일,18000,박소령,북스톤,2025-09-19,경제/경영
981,S000216465298,우리의 낙원에서 만나자,17550,하태완,북로망스,2025-05-21,시/에세이
982,S000001020250,해커스 토익 왕기초 RC Reading (리딩),12510,David Cho,해커스어학연구소,2024-09-09,외국어
983,S000214032055,이중 하나는 거짓말,14400,김애란,문학동네,2024-08-27,소설
